ID,date,title,eventDesc,location,eventTime,category,link,emailId
1,"Wednesday, July 09 2014",Fall Advance Registration,Fall Advance Registration,null,All Day,"Academic Calendar, UF Calendar",http://calendar.ufl.edu/event-archive/2014/july/fall-advance-registration.php,kzemba@ufl.edu
2,"Wednesday, July 09 2014","By The Way, Meet Vera Stark","By The Way, Meet Vera Stark, a recent comedy by Pulitzer-Prize winning playwright Lynn Nottage, directed by UF Assistant Professor Tim Altmeyer, chronicles seventy years in the life of Vera Stark, a determined African-American maid and would-be Hollywood actress."," Black Box Theatre of the Nadine M. McGuire Theatre and Dance Pavilion
",7:30 PM,"Arts & Museums, UF Calendar",http://calendar.ufl.edu/event-archive/2014/july/by-the-way-meet-vera-stark.php,lcraig@arts.ufl.edu
3,"Thursday, July 10 2014",Fall Advance Registration,Fall Advance Registration,null,All Day,"Academic Calendar, UF Calendar",http://calendar.ufl.edu/event-archive/2014/july/fall-advance-registration.php,kzemba@ufl.edu
4,"Thursday, July 10 2014","By The Way, Meet Vera Stark","By The Way, Meet Vera Stark, a recent comedy by Pulitzer-Prize winning playwright Lynn Nottage, directed by UF Assistant Professor Tim Altmeyer, chronicles seventy years in the life of Vera Stark, a determined African-American maid and would-be Hollywood actress."," Black Box Theatre of the Nadine M. McGuire Theatre and Dance Pavilion
",7:30 PM,"Arts & Museums, UF Calendar",http://calendar.ufl.edu/event-archive/2014/july/by-the-way-meet-vera-stark.php,lcraig@arts.ufl.edu
5,"Friday, July 11 2014",Fall Advance Registration,Fall Advance Registration,null,All Day,"Academic Calendar, UF Calendar",http://calendar.ufl.edu/event-archive/2014/july/fall-advance-registration.php,kzemba@ufl.edu
6,"Friday, July 11 2014",Summer B Fee Payments,"(3:30 pm, University Bursar) July 11",null,All Day,"Academic Calendar, UF Calendar",http://calendar.ufl.edu/event-archive/2014/july/summer-b-fee-payments.php,kzemba@ufl.edu
7,"Friday, July 11 2014",Summer B Residency Reclassifications,Summer B Residency Reclassifications,null,All Day,"Academic Calendar, UF Calendar",http://calendar.ufl.edu/event-archive/2014/july/summer-b-residency-reclassifications.php,kzemba@ufl.edu
8,"Friday, July 11 2014",Creative B,"Creative B is art, film, dance, media, theatre and research centering around one common goal — to be creative this summer!"," Campus-Wide
",Varying,"Arts & Museums, UF Calendar",http://calendar.ufl.edu/event-archive/2014/july/creative-b.php,lcraig@arts.ufl.edu
9,"Friday, July 11 2014",Wolf to Woof: The Story of Dogs,"“Wolf to Woof” is the largest and most comprehensive exhibition ever created on the history, biology and evolution of dogs."," Florida Museum of Natural History
",All Day,"Arts & Museums, UF Calendar",http://calendar.ufl.edu/event-archive/2014/july/wolf-to-woof-the-story-of-dogs.php,kgardiner@flmnh.ufl.edu
10,"Friday, July 11 2014",Southeast Asian Butterflies in the “Butterfly Rainforest”,Visit the “Butterfly Rainforest” exhibit at the Florida Museum of Natural History from July 1 through Aug. 14 to discover an exotic assortment of butterfly and moth species and see their extraordinary features as part of the theme “Butterflies of Southeast Asia.”," Florida Museum of Natural History, University of Florida Cultural Plaza, 3215 Hull Road
",All Day,"Arts & Museums, UF Calendar",http://calendar.ufl.edu/event-archive/2014/july/southeast-asian-butterflies-in-the-butterfly-rainforest.php,kprokos@flmnh.ufl.edu
11,"Saturday, July 12 2014",Swamp Dance Fest Public Showings,Pesented by School of Theatre and DanceSwamp Dance opens the doors to the public each Friday to take a peak at what students and choreographers have been working on during the week.," Nadine M. McGuire Pavilion - Studio G6
",5:00 PM,"Arts & Museums, UF Calendar",http://calendar.ufl.edu/event-archive/2014/july/swamp-dance-fest-public-showings.php,lcraig@arts.ufl.edu
